Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,"H29, H30",C10,1,0,FALSE,98.201,0.21018,0.111877,0.183264,0.023118,-5.5356,-5.5011,-5.5174,-5.519543122,0.023928,1.069029215,1.120261246,1.11392679,1.100362348,43.20515483,79.48019504,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.556343122,2.105556878,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,H31-H36,C13,1,0,FALSE,100.52346,0.20973,0.138942,0.163253,0.024517,-5.9181,-5.8469,-5.8554,-5.856441448,-0.045384,1.159616773,1.171513087,1.159616773,1.162360593,40.05686223,66.77247122,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.893241448,1.768658552,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,"H37, H38",C14,1,0,FALSE,90.8347,0.22255,0.113217,0.195685,0.032706,-6.3852,-6.3635,-6.3691,-6.372089785,0.033556,1.775668336,1.792434297,1.779022974,1.782434165,41.60954148,76.88820642,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.408889785,1.253010215,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
46,30,C1COCCO1,H7-H14,"C1, C2, C4, C5",9,59,TRUE,95.65935449,0.16653,0.090702,0.170083,0.023377,-4.9603,-4.7224,-4.9603,-4.931987427,0.027769,0.7185879907,0.8222744932,0.8222744932,0.8098707517,31.92508399,69.51550055,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,2.968787427,2.693112573,71.91406126,0,0,0,0,1,0,0,0,1,0,0,0
47,31,O=C1CCCC1,H9-H12,"C4, C5",4,61,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,4,C1,C=CC#N,-1.9782,-8.1074,3.544639907,2.584560093,59.79266387,0,0,0,0,0,0,0,0,1,0,1,0
47,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,4,C1,C=CC#N,-1.9782,-8.1074,4.54869934,1.58050066,59.79266387,0,0,0,0,0,0,0,0,1,0,1,0
48,31,O=C1CCCC1,H9-H12,"C4, C5",4,41,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.587439907,1.515560093,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
48,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.59149934,0.5115006603,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
49,31,O=C1CCCC1,H9-H12,"C4, C5",4,46,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,6,C1,C=CC(OCC)=O,-1.6299,-7.7176,3.892939907,2.194760093,60.65039622,0,0,0,0,0,0,0,0,1,0,1,0
49,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,6,C1,C=CC(OCC)=O,-1.6299,-7.7176,4.89699934,1.19070066,60.65039622,0,0,0,0,0,0,0,0,1,0,1,0
50,31,O=C1CCCC1,H9-H12,"C4, C5",4,51,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,3.664839907,1.999260093,63.41817129,0,0,0,0,0,0,0,0,1,0,1,0
50,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.66889934,0.9952006603,63.41817129,0,0,0,0,0,0,0,0,1,0,1,0
51,31,O=C1CCCC1,H9-H12,"C4, C5",4,61,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,15,"C3, C4",O=C(/C=C\C(OCCCC)=O)OCCCC,-1.284,-6.135,4.238839907,0.6121600925,85.41614011,0,0,0,0,0,0,0,0,1,0,1,0
51,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,15,"C3, C4",O=C(/C=C\C(OCCCC)=O)OCCCC,-1.284,-6.135,5.24289934,0.3918993397,85.41614011,0,0,0,0,0,0,0,0,1,0,1,0
52,31,O=C1CCCC1,H9-H12,"C4, C5",4,70,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.690339907,2.053260093,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
52,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.69439934,1.04920066,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
53,31,O=C1CCCC1,H9-H12,"C4, C5",4,73,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.117139907,3.035960093,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
53,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,3.12119934,2.03190066,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
54,31,O=C1CCCC1,H9-H12,"C4, C5",4,55,TRUE,97.04194,0.21162,0.112012,0.158203,0.028065,-5.5234,-5.5223,-5.5223,-5.522839907,-0.042248,0.9801353848,0.9805655819,0.9801353848,0.9803465363,28.02139487,70.11646088,12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,3.774039907,1.161260093,60.93505247,0,0,0,0,0,0,0,0,1,0,1,0
54,31,O=C1CCCC1,"H7, H8, H13, H14","C3, C6",4,0,FALSE,90.00152,0.23676,0.133381,0.177333,0.040125,-6.5271,-6.5267,-6.5267,-6.52689934,-0.036127,1.77090943,1.77129499,1.77090943,1.771101574,29.37438113,70.63714342,12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,4.77809934,0.1572006603,60.93505247,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,H10,C4,4,44,TRUE,94.63573,0.19325,0.078058,0.188563,0.022692,-5.1482,-5.1418,-5.1419,-5.143479397,-0.074413,0.9260638262,0.9291392622,0.9266321322,0.9271315771,39.13158043,81.1235565,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.208079397,1.894920603,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,"H8, H9",C3,4,0,FALSE,90.60606,0.23024,0.114552,0.195692,0.039395,-6.5248,-6.4776,-6.4776,-6.489715999,-0.005532,1.820823143,1.825571861,1.825178498,1.824265399,36.78214739,72.39065776,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.554315999,0.5486840007,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,H11-H13,C5,4,0,FALSE,100.33048,0.20947,0.117678,0.147506,0.0264,-5.9996,-5.8859,-5.8863,-5.897109078,-0.036781,1.131708915,1.211265849,1.13238719,1.139606796,25.3186243,61.81645754,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.961709078,1.141290922,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,"H14, H15",C6,4,0,FALSE,97.55508,0.19723,0.098979,0.175551,0.023344,-5.5618,-5.5333,-5.5597,-5.55743518,-0.051139,1.033675138,1.062679934,1.062497517,1.058960053,36.41746739,71.9952805,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.62203518,1.48096482,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,"H16, H17",C7,4,0,FALSE,90.18708,0.23276,0.119847,0.188656,0.040289,-6.5066,-6.4751,-6.5066,-6.497846168,0.035455,1.768831747,1.777699923,1.769355404,1.770721531,31.78022453,70.63229211,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.562446168,0.5405538323,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,H10,C4,4,62,TRUE,94.63573,0.19325,0.078058,0.188563,0.022692,-5.1482,-5.1418,-5.1419,-5.143479397,-0.074413,0.9260638262,0.9291392622,0.9266321322,0.9271315771,39.13158043,81.1235565,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.310979397,2.432620603,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H8, H9",C3,4,0,FALSE,90.60606,0.23024,0.114552,0.195692,0.039395,-6.5248,-6.4776,-6.4776,-6.489715999,-0.005532,1.820823143,1.825571861,1.825178498,1.824265399,36.78214739,72.39065776,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.657215999,1.086384001,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,H11-H13,C5,4,0,FALSE,100.33048,0.20947,0.117678,0.147506,0.0264,-5.9996,-5.8859,-5.8863,-5.897109078,-0.036781,1.131708915,1.211265849,1.13238719,1.139606796,25.3186243,61.81645754,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.064609078,1.678990922,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H14, H15",C6,4,0,FALSE,97.55508,0.19723,0.098979,0.175551,0.023344,-5.5618,-5.5333,-5.5597,-5.55743518,-0.051139,1.033675138,1.062679934,1.062497517,1.058960053,36.41746739,71.9952805,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.72493518,2.01866482,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H16, H17",C7,4,0,FALSE,90.18708,0.23276,0.119847,0.188656,0.040289,-6.5066,-6.4751,-6.5066,-6.497846168,0.035455,1.768831747,1.777699923,1.769355404,1.770721531,31.78022453,70.63229211,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.665346168,1.078253832,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
57,33,CCCC#N,"H9, H10",C2,2,69,TRUE,98.32946,0.2062,0.114278,0.169845,0.032796,-5.9508,-5.937,-5.937,-5.942068393,-0.007279,1.128738222,1.131772094,1.131772094,1.130877704,31.57590518,70.97436352,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.978868393,1.683031607,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
57,33,CCCC#N,H6-H8,C1,2,0,FALSE,100.82503,0.21301,0.118604,0.141609,0.03079,-6.3317,-6.1276,-6.2252,-6.176538512,-0.027251,1.217301639,1.347873084,1.278349522,1.248056874,22.29197607,60.20878836,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.213338512,1.448561488,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
57,33,CCCC#N,"H11, H12",C3,2,0,FALSE,92.105034,0.24145,0.139878,0.19249,0.053202,-6.5543,-6.4772,-6.4772,-6.507042944,0.063389,1.673183194,1.737919417,1.673183194,1.698132667,31.219085,70.53585427,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.543842944,1.118057056,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H11, H12",C5,2,71,TRUE,97.500404,0.20932,0.128359,0.173011,0.026567,-5.7535,-5.5296,-5.6847,-5.623999384,-0.072994,1.006423897,1.108354282,1.071912213,1.052460389,37.31924285,71.24436372,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.660799384,2.001100616,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H7, H8",C3,2,0,FALSE,91.98522,0.2423,0.141935,0.192992,0.051815,-6.5135,-6.4602,-6.4602,-6.496424272,-0.025013,1.67585272,1.73874346,1.67585272,1.711056401,31.07843974,70.56640098,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.533224272,1.128675728,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H9, H10",C4,2,0,FALSE,98.65742,0.20432,0.109585,0.168386,0.029769,-6.05,-5.8763,-5.8955,-5.926175146,-0.036213,1.133005204,1.210684026,1.141565607,1.158172683,32.93249566,72.86828728,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.962975146,1.698924854,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,H13-H15,C6,2,0,FALSE,100.078285,0.21137,0.122388,0.141462,0.028486,-6.1101,-5.7261,-5.9986,-6.014163621,0.053538,1.065365263,1.228374102,1.17436601,1.184405314,21.38311268,61.61674114,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.050963621,1.610936379,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,H10,C2,2,79,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.629760739,2.032139261,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.208276719,1.453623281,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.530374663,1.131525337,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
60,35,CC(C)CC#N,H10,C2,2,82,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,3.734960739,1.929139261,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
60,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.313476719,1.350623281,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
60,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.635574663,1.028525337,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,H10,C2,2,86,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.657560739,1.445439261,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.236076719,0.8669232809,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.558174663,0.5448253375,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,H10,C2,2,73,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,4,C1,C=CC#N,-1.9782,-8.1074,3.614760739,2.514439261,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,4,C1,C=CC#N,-1.9782,-8.1074,4.193276719,1.935923281,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,4,C1,C=CC#N,-1.9782,-8.1074,4.515374663,1.613825337,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,H10,C2,2,68,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,14,C1,C=CC(N)=O,-1.4016,-7.1731,4.191360739,1.580139261,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,14,C1,C=CC(N)=O,-1.4016,-7.1731,4.769876719,1.001623281,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,14,C1,C=CC(N)=O,-1.4016,-7.1731,5.091974663,0.6795253375,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
64,35,CC(C)CC#N,H10,C2,2,83,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.760460739,1.983139261,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
64,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.338976719,1.404623281,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
64,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.661074663,1.082525337,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
65,36,CCC#N,"H8, H9",C2,2,31,TRUE,91.0488,0.24395,0.137958,0.184978,0.054314,-6.5944,-6.5942,-6.5942,-6.594299156,0.062279,1.691425419,1.691567899,1.691425419,1.691496058,26.67237233,69.12226554,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.761799156,0.9818008441,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
65,36,CCC#N,H5-H7,C1,2,0,FALSE,101.45848,0.21312,0.125666,0.144139,0.03583,-6.7422,-6.5122,-6.5122,-6.579383347,-0.00267,1.32502806,1.42631003,1.32502806,1.354612677,21.31836202,59.94612364,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.746883347,0.9967166526,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,H12,C5,2,79,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.216269997,2.445630003,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.539120163,1.122779837,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.952923913,1.708976087,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.983519037,1.678380963,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,H12,C5,2,75,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,3.321469997,2.342630003,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.644320163,1.019779837,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.058123913,1.605976087,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.088719037,1.575380963,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,H12,C5,2,60,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,5,C1,C=CC(C)=O,-1.9354,-7.0384,3.244069997,1.858930003,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,5,C1,C=CC(C)=O,-1.9354,-7.0384,4.566920163,0.5360798369,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
