Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
37,24,O=C1OC(C)CC1,H9-H11,C5,1,0,FALSE,101.42066,0.21278,0.120519,0.152804,0.032686,-6.7161,-6.3059,-6.4603,-6.456872979,-0.037089,1.305859137,1.498463657,1.380763809,1.378705965,25.48845694,61.43026109,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.624372979,1.119227021,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
37,24,O=C1OC(C)CC1,"H12, H13",C6,1,0,FALSE,97.30263,0.21711,0.114756,0.170805,0.034212,-6.0308,-6.0303,-6.0303,-6.030524443,-0.04247,1.221978678,1.222406849,1.221978678,1.222266741,32.80833156,71.31145131,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.198024443,1.545575557,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
37,24,O=C1OC(C)CC1,"H14, H15",C7,1,0,FALSE,93.44478,0.2426,0.135101,0.181107,0.047518,-6.7185,-6.7153,-6.7153,-6.716699903,0.033075,1.784222243,1.786096956,1.784222243,1.784989325,29.32395704,70.06154385,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.884199903,0.859400097,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
38,24,O=C1OC(C)CC1,H8,C4,1,66,TRUE,94.39671,0.19181,0.100601,0.182748,0.036643,-5.1743,-5.1708,-5.174,-5.172722104,-0.072928,0.9245437223,0.9261391886,0.9259934282,0.9254477078,33.18675875,79.12426629,10,C1,C=CC(CC)=O,-1.8684,-6.9924,3.304322104,1.819677896,60.77875345,0,0,0,0,0,0,0,0,1,1,0,0
38,24,O=C1OC(C)CC1,H9-H11,C5,1,0,FALSE,101.42066,0.21278,0.120519,0.152804,0.032686,-6.7161,-6.3059,-6.4603,-6.456872979,-0.037089,1.305859137,1.498463657,1.380763809,1.378705965,25.48845694,61.43026109,10,C1,C=CC(CC)=O,-1.8684,-6.9924,4.588472979,0.535527021,60.77875345,0,0,0,0,0,0,0,0,1,1,0,0
38,24,O=C1OC(C)CC1,"H12, H13",C6,1,0,FALSE,97.30263,0.21711,0.114756,0.170805,0.034212,-6.0308,-6.0303,-6.0303,-6.030524443,-0.04247,1.221978678,1.222406849,1.221978678,1.222266741,32.80833156,71.31145131,10,C1,C=CC(CC)=O,-1.8684,-6.9924,4.162124443,0.9618755573,60.77875345,0,0,0,0,0,0,0,0,1,1,0,0
38,24,O=C1OC(C)CC1,"H14, H15",C7,1,0,FALSE,93.44478,0.2426,0.135101,0.181107,0.047518,-6.7185,-6.7153,-6.7153,-6.716699903,0.033075,1.784222243,1.786096956,1.784222243,1.784989325,29.32395704,70.06154385,10,C1,C=CC(CC)=O,-1.8684,-6.9924,4.848299903,0.275700097,60.77875345,0,0,0,0,0,0,0,0,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,H20,C6,1,78,TRUE,94.99053,0.18961,0.074315,0.186075,0.021668,-5.0437,-4.906,-4.906,-4.958321053,-0.078475,0.8440292238,0.9048333052,0.8440292238,0.867657217,39.63560271,81.817626,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,1.552621053,3.600478947,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,H13-H15,C1,1,0,FALSE,101.19341,0.21169,0.125167,0.159622,0.030699,-6.5436,-6.2758,-6.2823,-6.346615794,0.096833,1.30854856,1.439538339,1.311907404,1.343954924,29.88135499,66.18504937,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.940915794,2.212184206,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,"H16, H17",C4,1,0,FALSE,97.29949,0.21243,0.107974,0.190985,0.02779,-5.9354,-5.6032,-5.7628,-5.788763525,-0.041821,1.063201585,1.234579225,1.149370883,1.160872519,43.9101774,79.06484779,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.383063525,2.770036475,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,"H18, H19",C5,1,0,FALSE,96.781105,0.21045,0.126714,0.188053,0.023068,-5.5109,-5.289,-5.4045,-5.390659687,-0.008702,0.9544614898,1.032743901,1.010152416,1.001584154,50.73655561,79.9953013,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,1.984959687,3.168140313,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,H21-H26,"C7, C8",1,0,FALSE,100.43261,0.19765,0.107931,0.151309,0.020885,-5.8286,-5.7506,-5.7704,-5.775598681,-0.068358,1.104074075,1.133496242,1.110532361,1.111591776,29.42112685,63.90081894,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.369898681,2.783201319,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,"H27, H28",C9,1,0,FALSE,96.781105,0.21351,0.119363,0.178663,0.0299,-5.9286,-5.901,-5.9058,-5.907073742,-0.043444,1.165901459,1.190249372,1.165901459,1.169653716,37.04317624,75.1656715,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.501373742,2.651726258,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
39,25,CC(O1)(CCC(C)C)CCC1=O,"H29, H30",C10,1,0,FALSE,93.42277,0.24076,0.128559,0.182115,0.045687,-6.6575,-6.6447,-6.6475,-6.651180805,0.185167,1.786958232,1.800423618,1.800423618,1.795007493,30.62430233,71.21198432,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,3.245480805,1.907619195,70.57416034,0,0,0,0,0,0,0,1,1,1,0,0
40,26,CC(O1)(C)CCCC1=O,"H18, H19",C6,1,52,TRUE,95.75617,0.2129,0.119191,0.165566,0.031397,-5.67,-5.67,-5.67,-5.67,-0.042808,1.025669887,1.025669887,1.025669887,1.025669887,29.69999093,72.85100339,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.7068,1.9551,71.91406126,0,0,0,0,0,0,0,0,1,1,0,0
40,26,CC(O1)(C)CCCC1=O,H10-H15,C1,1,0,FALSE,99.740166,0.22158,0.1321,0.163402,0.033759,-6.5169,-6.5169,-6.5169,-6.5169,0.098434,1.390890135,1.390890135,1.390890135,1.390890135,29.10638981,64.26155635,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.5537,1.1082,71.91406126,0,0,0,0,0,0,0,0,1,1,0,0
40,26,CC(O1)(C)CCCC1=O,"H16, H17",C5,1,0,FALSE,97.625916,0.20626,0.111184,0.186154,0.026807,-5.7717,-5.7717,-5.7717,-5.7717,-0.037141,1.112431886,1.112431886,1.112431886,1.112431886,40.46190725,75.30789229,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.8085,1.8534,71.91406126,0,0,0,0,0,0,0,0,1,1,0,0
40,26,CC(O1)(C)CCCC1=O,"H20, H21",C7,1,0,FALSE,90.26265,0.23277,0.125718,0.194431,0.042471,-6.5552,-6.5552,-6.5552,-6.5552,0.181792,1.730328336,1.730328336,1.730328336,1.730328336,34.08477072,73.23777873,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.592,1.0699,71.91406126,0,0,0,0,0,0,0,0,1,1,0,0
41,26,CC(O1)(C)CCCC1=O,"H18, H19",C6,1,61,TRUE,95.75617,0.2129,0.119191,0.165566,0.031397,-5.67,-5.67,-5.67,-5.67,-0.042808,1.025669887,1.025669887,1.025669887,1.025669887,29.69999093,72.85100339,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.8375,1.9061,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
41,26,CC(O1)(C)CCCC1=O,H10-H15,C1,1,0,FALSE,99.740166,0.22158,0.1321,0.163402,0.033759,-6.5169,-6.5169,-6.5169,-6.5169,0.098434,1.390890135,1.390890135,1.390890135,1.390890135,29.10638981,64.26155635,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.6844,1.0592,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
41,26,CC(O1)(C)CCCC1=O,"H16, H17",C5,1,0,FALSE,97.625916,0.20626,0.111184,0.186154,0.026807,-5.7717,-5.7717,-5.7717,-5.7717,-0.037141,1.112431886,1.112431886,1.112431886,1.112431886,40.46190725,75.30789229,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.9392,1.8044,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
