Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Shellbur H,Shellbur radical,All SOMOS,SOMO energies,All electrophilicities,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
55,32,O=C1CC(C)CC1,H11-H13,C5,4,0,FALSE,100.33048,0.20947,0.117678,0.147506,0.0264,-5.9996,-5.8859,-5.8863,-5.897109078,-0.036781,1.131708915,1.211265849,1.13238719,1.139606796,25.3186243,61.81645754,12.92093659,27.50038996,"[-5.8863, -5.9996, -5.8912, -5.8859]","[-309.06615740009, -309.06491797199203, -309.066121955935, -309.066146409036]","[1.1323871896255597, 1.2112658494296054, 1.135186942188593, 1.1317089153540327]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.961709078,1.141290922,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,"H14, H15",C6,4,0,FALSE,97.55508,0.19723,0.098979,0.175551,0.023344,-5.5618,-5.5333,-5.5597,-5.55743518,-0.051139,1.033675138,1.062679934,1.062497517,1.058960053,36.41746739,71.9952805,21.46734111,45.14847282,"[-5.5597, -5.5333, -5.5618, -5.5613]","[-309.071763874443, -309.07095917723, -309.071741434834, -309.071739240636]","[1.062497517464011, 1.033675137739383, 1.0626683172382012, 1.0626799340353699]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.62203518,1.48096482,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
55,32,O=C1CC(C)CC1,"H16, H17",C7,4,0,FALSE,90.18708,0.23276,0.119847,0.188656,0.040289,-6.5066,-6.4751,-6.5066,-6.497846168,0.035455,1.768831747,1.777699923,1.769355404,1.770721531,31.78022453,70.63229211,17.59228287,41.62627915,"[-6.5061, -6.5043, -6.5066, -6.4751]","[-309.082309908494, -309.081588129059, -309.08231557208904, -309.082191497509]","[1.76883174651709, 1.777699923322717, 1.7693554035625563, 1.7707385812521246]",5,C1,C=CC(C)=O,-1.9354,-7.0384,4.562446168,0.5405538323,60.77911164,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,H10,C4,4,62,TRUE,94.63573,0.19325,0.078058,0.188563,0.022692,-5.1482,-5.1418,-5.1419,-5.143479397,-0.074413,0.9260638262,0.9291392622,0.9266321322,0.9271315771,39.13158043,81.1235565,20.1272556,58.72126887,"[-5.1482, -5.1422, -5.1419, -5.1418]","[-309.078285640335, -309.078307448885, -309.078331548649, -309.07832625976994]","[0.9291392621784851, 0.9267713272251009, 0.9266321322446313, 0.9260638261800817]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.310979397,2.432620603,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H8, H9",C3,4,0,FALSE,90.60606,0.23024,0.114552,0.195692,0.039395,-6.5248,-6.4776,-6.4776,-6.489715999,-0.005532,1.820823143,1.825571861,1.825178498,1.824265399,36.78214739,72.39065776,22.9443768,45.82905104,"[-6.4777, -6.5248, -6.5238, -6.4776]","[-309.081702107146, -309.080704996039, -309.080722604555, -309.08171369867506]","[1.825571860642942, 1.8213588021993252, 1.8208231427717398, 1.8251784975446008]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.657215999,1.086384001,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,H11-H13,C5,4,0,FALSE,100.33048,0.20947,0.117678,0.147506,0.0264,-5.9996,-5.8859,-5.8863,-5.897109078,-0.036781,1.131708915,1.211265849,1.13238719,1.139606796,25.3186243,61.81645754,12.92093659,27.50038996,"[-5.8863, -5.9996, -5.8912, -5.8859]","[-309.06615740009, -309.06491797199203, -309.066121955935, -309.066146409036]","[1.1323871896255597, 1.2112658494296054, 1.135186942188593, 1.1317089153540327]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.064609078,1.678990922,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H14, H15",C6,4,0,FALSE,97.55508,0.19723,0.098979,0.175551,0.023344,-5.5618,-5.5333,-5.5597,-5.55743518,-0.051139,1.033675138,1.062679934,1.062497517,1.058960053,36.41746739,71.9952805,21.46734111,45.14847282,"[-5.5597, -5.5333, -5.5618, -5.5613]","[-309.071763874443, -309.07095917723, -309.071741434834, -309.071739240636]","[1.062497517464011, 1.033675137739383, 1.0626683172382012, 1.0626799340353699]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.72493518,2.01866482,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
56,32,O=C1CC(C)CC1,"H16, H17",C7,4,0,FALSE,90.18708,0.23276,0.119847,0.188656,0.040289,-6.5066,-6.4751,-6.5066,-6.497846168,0.035455,1.768831747,1.777699923,1.769355404,1.770721531,31.78022453,70.63229211,17.59228287,41.62627915,"[-6.5061, -6.5043, -6.5066, -6.4751]","[-309.082309908494, -309.081588129059, -309.08231557208904, -309.082191497509]","[1.76883174651709, 1.777699923322717, 1.7693554035625563, 1.7707385812521246]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.665346168,1.078253832,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
57,33,CCCC#N,"H9, H10",C2,2,69,TRUE,98.32946,0.2062,0.114278,0.169845,0.032796,-5.9508,-5.937,-5.937,-5.942068393,-0.007279,1.128738222,1.131772094,1.131772094,1.130877704,31.57590518,70.97436352,13.82404004,40.91366896,"[-5.9508, -5.937, -5.9374, -5.9492]","[-210.61777649002903, -210.618277723891, -210.618177800375, -210.617762622376]","[1.1301307266698255, 1.1317720937380158, 1.1317500972217567, 1.1287382216429434]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.978868393,1.683031607,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
57,33,CCCC#N,H6-H8,C1,2,0,FALSE,100.82503,0.21301,0.118604,0.141609,0.03079,-6.3317,-6.1276,-6.2252,-6.176538512,-0.027251,1.217301639,1.347873084,1.278349522,1.248056874,22.29197607,60.20878836,9.31495418,23.70898152,"[-6.1295, -6.2252, -6.3317, -6.1276]","[-210.61284407532702, -210.612860084081, -210.611653900806, -210.612794680194]","[1.2181354857321873, 1.2783495222965133, 1.3478730837624935, 1.2173016391249445]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.213338512,1.448561488,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
