Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Shellbur H,Shellbur radical,All SOMOS,SOMO energies,All electrophilicities,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
64,35,CC(C)CC#N,H10,C2,2,83,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.760460739,1.983139261,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
64,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.338976719,1.404623281,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
64,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.661074663,1.082525337,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
65,36,CCC#N,"H8, H9",C2,2,31,TRUE,91.0488,0.24395,0.137958,0.184978,0.054314,-6.5944,-6.5942,-6.5942,-6.594299156,0.062279,1.691425419,1.691567899,1.691425419,1.691496058,26.67237233,69.12226554,9.271321549,34.52227049,"[-6.5942, -6.5944]","[-171.35151914694, -171.35150320667597]","[1.6914254192630382, 1.6915678990028193]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.761799156,0.9818008441,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
65,36,CCC#N,H5-H7,C1,2,0,FALSE,101.45848,0.21312,0.125666,0.144139,0.03583,-6.7422,-6.5122,-6.5122,-6.579383347,-0.00267,1.32502806,1.42631003,1.32502806,1.354612677,21.31836202,59.94612364,6.847056288,22.85908304,"[-6.7422, -6.5122]","[-171.332915913123, -171.333751708575]","[1.4263100304826055, 1.325028060356847]",9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.746883347,0.9967166526,61.13649183,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,H12,C5,2,79,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,22.92074153,61.9456858,"[-5.0883, -5.2265, -5.1901, -5.3408, -5.131, -5.0789, -5.3361]","[-289.181092700174, -289.179766898828, -289.178883735896, -289.180821707238, -289.181276699411, -289.18113849948, -289.180856664015]","[0.9167422806834911, 0.9418104424420365, 0.9345142919174115, 0.9771143716590104, 0.9074363049930289, 0.9129169373699557, 0.9752580888990031]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.216269997,2.445630003,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,19.0420173,42.08524698,"[-6.5041, -6.5018, -6.497, -6.5063, -6.5073, -6.5014, -6.506]","[-289.185668850681, -289.185650409934, -289.185517085201, -289.18460390942295, -289.18462015946403, -289.18561042591995, -289.184608520966]","[1.7206793747912428, 1.7191948926481488, 1.737107739200666, 1.7663035764708648, 1.767405320589032, 1.7189099945152284, 1.7661901944804932]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.539120163,1.122779837,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,21.5065632,50.39521262,"[-5.8706, -5.9267, -6.0099, -5.8669, -5.9922, -5.9325, -5.8669]","[-289.173112844014, -289.173387428407, -289.172292048823, -289.171793505308, -289.170792193603, -289.17335881877904, -289.172415884543]","[1.1338967054209668, 1.1686782126551585, 1.2048076566329864, 1.129811300531867, 1.1828253517109089, 1.1713748197448728, 1.1301819907599115]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.952923913,1.708976087,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
66,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13.16738433,28.8634053,"[-5.8884, -6.0342, -5.9436, -6.0988, -5.6903, -5.8887, -6.0252]","[-289.16902865934196, -289.168537556366, -289.16718066983, -289.168569896594, -289.167339466804, -289.16901346975, -289.167341912082]","[1.153416685721188, 1.2216033785408829, 1.1698095374186872, 1.261904587462847, 1.0732643511755082, 1.1535474714667733, 1.2218345575616962]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.983519037,1.678380963,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,H12,C5,2,75,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,22.92074153,61.9456858,"[-5.0883, -5.2265, -5.1901, -5.3408, -5.131, -5.0789, -5.3361]","[-289.181092700174, -289.179766898828, -289.178883735896, -289.180821707238, -289.181276699411, -289.18113849948, -289.180856664015]","[0.9167422806834911, 0.9418104424420365, 0.9345142919174115, 0.9771143716590104, 0.9074363049930289, 0.9129169373699557, 0.9752580888990031]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,3.321469997,2.342630003,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,19.0420173,42.08524698,"[-6.5041, -6.5018, -6.497, -6.5063, -6.5073, -6.5014, -6.506]","[-289.185668850681, -289.185650409934, -289.185517085201, -289.18460390942295, -289.18462015946403, -289.18561042591995, -289.184608520966]","[1.7206793747912428, 1.7191948926481488, 1.737107739200666, 1.7663035764708648, 1.767405320589032, 1.7189099945152284, 1.7661901944804932]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.644320163,1.019779837,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,21.5065632,50.39521262,"[-5.8706, -5.9267, -6.0099, -5.8669, -5.9922, -5.9325, -5.8669]","[-289.173112844014, -289.173387428407, -289.172292048823, -289.171793505308, -289.170792193603, -289.17335881877904, -289.172415884543]","[1.1338967054209668, 1.1686782126551585, 1.2048076566329864, 1.129811300531867, 1.1828253517109089, 1.1713748197448728, 1.1301819907599115]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.058123913,1.605976087,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
67,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13.16738433,28.8634053,"[-5.8884, -6.0342, -5.9436, -6.0988, -5.6903, -5.8887, -6.0252]","[-289.16902865934196, -289.168537556366, -289.16718066983, -289.168569896594, -289.167339466804, -289.16901346975, -289.167341912082]","[1.153416685721188, 1.2216033785408829, 1.1698095374186872, 1.261904587462847, 1.0732643511755082, 1.1535474714667733, 1.2218345575616962]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.088719037,1.575380963,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,H12,C5,2,60,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,22.92074153,61.9456858,"[-5.0883, -5.2265, -5.1901, -5.3408, -5.131, -5.0789, -5.3361]","[-289.181092700174, -289.179766898828, -289.178883735896, -289.180821707238, -289.181276699411, -289.18113849948, -289.180856664015]","[0.9167422806834911, 0.9418104424420365, 0.9345142919174115, 0.9771143716590104, 0.9074363049930289, 0.9129169373699557, 0.9752580888990031]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.244069997,1.858930003,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,19.0420173,42.08524698,"[-6.5041, -6.5018, -6.497, -6.5063, -6.5073, -6.5014, -6.506]","[-289.185668850681, -289.185650409934, -289.185517085201, -289.18460390942295, -289.18462015946403, -289.18561042591995, -289.184608520966]","[1.7206793747912428, 1.7191948926481488, 1.737107739200666, 1.7663035764708648, 1.767405320589032, 1.7189099945152284, 1.7661901944804932]",5,C1,C=CC(C)=O,-1.9354,-7.0384,4.566920163,0.5360798369,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,21.5065632,50.39521262,"[-5.8706, -5.9267, -6.0099, -5.8669, -5.9922, -5.9325, -5.8669]","[-289.173112844014, -289.173387428407, -289.172292048823, -289.171793505308, -289.170792193603, -289.17335881877904, -289.172415884543]","[1.1338967054209668, 1.1686782126551585, 1.2048076566329864, 1.129811300531867, 1.1828253517109089, 1.1713748197448728, 1.1301819907599115]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.980723913,1.122276087,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
68,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13.16738433,28.8634053,"[-5.8884, -6.0342, -5.9436, -6.0988, -5.6903, -5.8887, -6.0252]","[-289.16902865934196, -289.168537556366, -289.16718066983, -289.168569896594, -289.167339466804, -289.16901346975, -289.167341912082]","[1.153416685721188, 1.2216033785408829, 1.1698095374186872, 1.261904587462847, 1.0732643511755082, 1.1535474714667733, 1.2218345575616962]",5,C1,C=CC(C)=O,-1.9354,-7.0384,4.011319037,1.091680963,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
69,37,N#CCCC(C)C,H12,C5,2,73,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,22.92074153,61.9456858,"[-5.0883, -5.2265, -5.1901, -5.3408, -5.131, -5.0789, -5.3361]","[-289.181092700174, -289.179766898828, -289.178883735896, -289.180821707238, -289.181276699411, -289.18113849948, -289.180856664015]","[0.9167422806834911, 0.9418104424420365, 0.9345142919174115, 0.9771143716590104, 0.9074363049930289, 0.9129169373699557, 0.9752580888990031]",4,C1,C=CC#N,-1.9782,-8.1074,3.201269997,2.927930003,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
69,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,19.0420173,42.08524698,"[-6.5041, -6.5018, -6.497, -6.5063, -6.5073, -6.5014, -6.506]","[-289.185668850681, -289.185650409934, -289.185517085201, -289.18460390942295, -289.18462015946403, -289.18561042591995, -289.184608520966]","[1.7206793747912428, 1.7191948926481488, 1.737107739200666, 1.7663035764708648, 1.767405320589032, 1.7189099945152284, 1.7661901944804932]",4,C1,C=CC#N,-1.9782,-8.1074,4.524120163,1.605079837,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
69,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,21.5065632,50.39521262,"[-5.8706, -5.9267, -6.0099, -5.8669, -5.9922, -5.9325, -5.8669]","[-289.173112844014, -289.173387428407, -289.172292048823, -289.171793505308, -289.170792193603, -289.17335881877904, -289.172415884543]","[1.1338967054209668, 1.1686782126551585, 1.2048076566329864, 1.129811300531867, 1.1828253517109089, 1.1713748197448728, 1.1301819907599115]",4,C1,C=CC#N,-1.9782,-8.1074,3.937923913,2.191276087,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
69,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13.16738433,28.8634053,"[-5.8884, -6.0342, -5.9436, -6.0988, -5.6903, -5.8887, -6.0252]","[-289.16902865934196, -289.168537556366, -289.16718066983, -289.168569896594, -289.167339466804, -289.16901346975, -289.167341912082]","[1.153416685721188, 1.2216033785408829, 1.1698095374186872, 1.261904587462847, 1.0732643511755082, 1.1535474714667733, 1.2218345575616962]",4,C1,C=CC#N,-1.9782,-8.1074,3.968519037,2.160680963,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
70,37,N#CCCC(C)C,H12,C5,2,54,TRUE,95.49716,0.20576,0.105559,0.193959,0.02475,-5.3408,-5.0789,-5.131,-5.179469997,-0.076661,0.907436305,0.9771143717,0.907436305,0.9329855139,44.6263706,83.09741963,22.92074153,61.9456858,"[-5.0883, -5.2265, -5.1901, -5.3408, -5.131, -5.0789, -5.3361]","[-289.181092700174, -289.179766898828, -289.178883735896, -289.180821707238, -289.181276699411, -289.18113849948, -289.180856664015]","[0.9167422806834911, 0.9418104424420365, 0.9345142919174115, 0.9771143716590104, 0.9074363049930289, 0.9129169373699557, 0.9752580888990031]",12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,3.430669997,1.504630003,60.93505247,0,0,0,0,0,0,0,1,0,0,0,1
70,37,N#CCCC(C)C,"H8, H9",C3,2,0,FALSE,91.490685,0.24476,0.157726,0.193428,0.050493,-6.5073,-6.497,-6.5041,-6.502320163,-0.027024,1.718909995,1.767405321,1.720679375,1.732432288,35.50874329,72.0126415,19.0420173,42.08524698,"[-6.5041, -6.5018, -6.497, -6.5063, -6.5073, -6.5014, -6.506]","[-289.185668850681, -289.185650409934, -289.185517085201, -289.18460390942295, -289.18462015946403, -289.18561042591995, -289.184608520966]","[1.7206793747912428, 1.7191948926481488, 1.737107739200666, 1.7663035764708648, 1.767405320589032, 1.7189099945152284, 1.7661901944804932]",12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,4.753520163,0.1817798369,60.93505247,0,0,0,0,0,0,0,1,0,0,0,1
70,37,N#CCCC(C)C,"H10, H11",C4,2,0,FALSE,98.96935,0.20463,0.111306,0.177578,0.028544,-6.0099,-5.8669,-5.9267,-5.916123913,-0.004984,1.129811301,1.204807657,1.168678213,1.159853278,37.34557825,75.09169601,21.5065632,50.39521262,"[-5.8706, -5.9267, -6.0099, -5.8669, -5.9922, -5.9325, -5.8669]","[-289.173112844014, -289.173387428407, -289.172292048823, -289.171793505308, -289.170792193603, -289.17335881877904, -289.172415884543]","[1.1338967054209668, 1.1686782126551585, 1.2048076566329864, 1.129811300531867, 1.1828253517109089, 1.1713748197448728, 1.1301819907599115]",12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,4.167323913,0.7679760869,60.93505247,0,0,0,0,0,0,0,1,0,0,0,1
70,37,N#CCCC(C)C,H13-H18,"C6, C7",2,0,FALSE,100.44166,0.20973,0.119007,0.147458,0.026954,-6.0988,-5.6903,-5.8884,-5.946719037,-0.069935,1.073264351,1.261904587,1.153416686,1.182788776,26.02649508,62.47895087,13.16738433,28.8634053,"[-5.8884, -6.0342, -5.9436, -6.0988, -5.6903, -5.8887, -6.0252]","[-289.16902865934196, -289.168537556366, -289.16718066983, -289.168569896594, -289.167339466804, -289.16901346975, -289.167341912082]","[1.153416685721188, 1.2216033785408829, 1.1698095374186872, 1.261904587462847, 1.0732643511755082, 1.1535474714667733, 1.2218345575616962]",12,C1,C=C1C(C2)CCC2C1=O,-1.7488,-6.6841,4.197919037,0.7373809627,60.93505247,0,0,0,0,0,0,0,1,0,0,0,1
71,38,N#CCCCCC#N,H11-H14,"C4, C5",2,69,TRUE,99.21641,0.22337,0.148803,0.181715,0.035976,-6.6658,-6.394,-6.5247,-6.460116608,-0.027971,1.398271657,1.568445393,1.455424648,1.430820509,38.42703659,74.31206347,21.9041268,48.36813548,"[-6.5247, -6.4238, -6.4221, -6.4457, -6.4605, -6.533, -6.394, -6.4292, -6.6658, -6.4238]","[-342.12949109139004, -342.12943827851205, -342.12943732713603, -342.129245110162, -342.12806668839903, -342.12837686564296, -342.12835385875496, -342.128884377382, -342.12818244298006, -342.128976088861]","[1.4554246483279192, 1.4017561724172778, 1.4017459436661701, 1.4167080943638193, 1.4202462663489586, 1.491011362983691, 1.3982716574928635, 1.4218459640503693, 1.5684453930338325, 1.4396704882800146]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.496916608,1.164983392,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
71,38,N#CCCCCC#N,"H9, H10, H15, H16","C3, C6",2,0,FALSE,92.18551,0.24579,0.1512,0.195283,0.055276,-7.0247,-6.6256,-6.877,-6.86273853,-0.023811,1.826450656,2.111437362,1.976122715,1.965408336,31.25176679,71.64853393,16.03803545,41.99629598,"[-6.7924, -6.875, -6.877, -6.8517, -6.8492, -6.9512, -6.9078, -6.6382, -7.0247, -6.6256]","[-342.141323537989, -342.14186233255305, -342.141975179168, -342.138507000638, -342.140374873371, -342.13967808245803, -342.139943304263, -342.139118635554, -342.14006368751, -342.13904041241]","[1.8911573204411352, 1.974591529968401, 1.9761227145442284, 1.957986333840668, 1.9573092148557054, 2.034976132460896, 2.0236923373950844, 1.8264506564521237, 2.111437361799869, 1.8451369467416512]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.89953853,0.7623614704,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,H15,C2,2,52,TRUE,94.57891,0.20569,0.105131,0.195442,0.024389,-5.4308,-5.1392,-5.2354,-5.25491684,-0.075505,0.9191867778,1.070150079,0.9602108794,0.9749028938,44.85459285,83.28789912,23.4085379,62.26236347,"[-5.1913, -5.286, -5.4308, -5.308, -5.1624, -5.3179, -5.2354, -5.2381, -5.1392, -5.4244]","[-459.9727817492, -459.96973829120907, -459.972142859624, -459.97093247069193, -459.97033521139605, -459.970303991955, -459.97291241157603, -459.96757430661404, -459.97066589500304, -459.9688530346]","[0.9505251094869847, 0.999518607635642, 1.0568342403424231, 0.9942342705643018, 0.9191867778098495, 1.0265696650509706, 0.9602108793522989, 0.9795140044885636, 0.926219416982311, 1.0701500785587743]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.29171684,2.37018316,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,"H12-H14, H16-H18","C1, C3",2,0,FALSE,100.54251,0.20714,0.130855,0.152026,0.026388,-6.8214,-5.8466,-6.0556,-6.090248408,-0.007274,1.12361959,1.428649507,1.226263286,1.251187192,33.59854225,64.15753994,23.96159269,32.75572946,"[-6.0556, -6.0317, -6.0951, -6.2392, -6.0927, -5.8466, -6.8214, -5.9166, -5.9587, -6.138]","[-459.96092557256895, -459.958095762393, -459.958714632135, -459.960023035206, -459.958775767118, -459.95711118370804, -459.946390327973, -459.955902539764, -459.958937189201, -459.956988216636]","[1.2262632859293423, 1.2222222996859813, 1.2482823296776433, 1.3375355314887067, 1.2794868764493916, 1.1236195904477198, 1.4286495067185656, 1.185241764119293, 1.1903194839337394, 1.285162874548944]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.127048408,1.534851592,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,"H19, H20",C4,2,0,FALSE,98.69686,0.20698,0.112112,0.185034,0.029322,-6.3306,-5.783,-6.1544,-6.090562636,0.015208,1.208592115,1.46235205,1.35925575,1.344740345,42.58646922,77.36234238,28.77605895,55.49730966,"[-6.2132, -6.1544, -6.0894, -6.3306, -5.783, -5.9189, -6.1099, -5.9208, -6.2254, -6.2732]","[-459.963779955291, -459.96403116561, -459.96310819785504, -459.962601573203, -459.96320740373505, -459.96342722583296, -459.962986121095, -459.96344685078003, -459.96287837066296, -459.96288331562306]","[1.392312716970146, 1.3592557499951425, 1.337308595294019, 1.4623520498152154, 1.2085921150931747, 1.2872063615119413, 1.3321480240319061, 1.288561105052999, 1.4201869504366746, 1.4302704477919579]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.127362636,1.534537364,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,H21,C5,2,0,FALSE,88.751564,0.25697,0.152602,0.223999,0.04725,-6.4923,-6.3603,-6.4675,-6.405338434,0.062407,1.838343676,1.923588312,1.884182407,1.858817179,53.27876443,84.82611886,34.15636653,64.95941461,"[-6.3922, -6.3876, -6.3873, -6.4675, -6.3923, -6.3979, -6.3603, -6.4046, -6.3986, -6.4923]","[-459.98190016671094, -459.982030110457, -459.9820299363, -459.982090040768, -459.981814928686, -459.981076359143, -459.97990971850794, -459.98174036512603, -459.97976450429195, 10]","[1.8466007599291954, 1.8548064049581834, 1.854800772670932, 1.8841824067376622, 1.8383436764950798, 1.8611460926387682, 1.843069795801967, 1.8714944667799533, 1.8526170689820096, 1.9235883123330242]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.442138434,1.219761566,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,"H22, H23",C8,2,0,FALSE,100.2477,0.21918,0.128494,0.18518,0.039288,-6.818,-6.4929,-6.4929,-6.685337384,-0.002222,1.449398657,1.642333725,1.449398657,1.564006942,36.98180251,74.6340294,22.49310836,49.74218715,"[-6.8141, -6.818, -6.7669, -6.5329, -6.6928, -6.7782, -6.7886, -6.7053, -6.4929, -6.5765]","[-459.961685955568, -459.959096229212, -459.961293764799, -459.960556317675, -459.96140617282697, -459.961143230448, -459.958384429026, -459.95895965639596, -459.961713006769, -459.959341730069]","[1.6269783443491526, 1.638150542318113, 1.6208807987325047, 1.4680457292388307, 1.5643694291945354, 1.6423337251008836, 1.6173181996606094, 1.5749606056934071, 1.4493986571797952, 1.5050936277764468]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.722137384,0.9397626161,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
72,39,CC(C)CC(C#N)CCC#N,"H24, H25",C9,2,0,FALSE,92.2483,0.25488,0.150526,0.192332,0.059131,-7.0215,-6.8833,-6.9185,-6.943787152,0.06524,1.995967355,2.107124887,2.032767399,2.058083965,28.61274392,72.57713453,14.56151433,42.20284267,"[-6.9185, -6.9011, -6.9266, -6.8848, -6.9201, -6.9778, -6.8918, -6.9207, -7.0215, -6.8833]","[-459.97510406922794, -459.97270771497, -459.973488165351, -459.97356484875195, -459.97493295553795, -459.974106640738, -459.971919270556, -459.972771976489, -459.974793871335, -459.97119442615895]","[2.032767398935726, 2.024696255635589, 2.0455931661970523, 1.9971792299574813, 2.0499885065576056, 2.1057927483145407, 2.022003628080876, 2.0489015749967585, 2.107124887217907, 1.995967354802454]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.980587152,0.681312848,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
