O=C(OCC)C(C)C1=CC=C(C=C1)CC(C)C
CC1(C)CCC[C@@]2(C)[C@@]1([H])CC[C@](OCC3)(C)[C@@]23[H]
CC1(C)CCC[C@@]2(C)[C@@]1([H])CC[C@](OC(C3)=O)(C)[C@@]23[H]
